               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077066,            0.035962,            0.039365,             0.25361,             0.51975,             0.29827,             0.13151,            0.061364,            0.012953,            0.020106,            0.003321,            0.003321,            0.070111
                   1,             0.06106,            0.031623,            0.018269,             0.38148,             0.50483,             0.41045,             0.21948,            0.050063,               0.013,            0.020157,           0.0059955,           0.0059955,            0.039452
                   2,            0.056718,            0.032688,            0.017476,             0.34638,             0.40999,             0.34672,             0.19494,            0.049637,            0.014973,            0.025829,           0.0080101,           0.0080101,           0.0081336
                   3,            0.054503,            0.033606,            0.018071,             0.44651,             0.51317,             0.44231,             0.24769,            0.046606,            0.014182,            0.019859,             0.00703,             0.00703,             0.00703
                   4,            0.052273,            0.033277,            0.016185,             0.48992,             0.57887,             0.47749,             0.28275,            0.045489,            0.013395,            0.017327,             0.00703,             0.00703,             0.00703
                   5,            0.050811,             0.03284,            0.013432,             0.52215,             0.50972,             0.50256,              0.3137,            0.043195,            0.013686,            0.016312,             0.00604,             0.00604,             0.00604
                   6,            0.049214,            0.032141,            0.012438,             0.50978,             0.58279,             0.50847,             0.32934,            0.042288,            0.013163,            0.017122,             0.00505,             0.00505,             0.00505
                   7,            0.047216,            0.031464,             0.01045,             0.53372,             0.60216,             0.53886,             0.35088,            0.040591,             0.01313,            0.014189,             0.00406,             0.00406,             0.00406
                   8,            0.045183,            0.031078,           0.0093262,             0.56071,             0.58726,              0.5604,             0.37617,            0.040254,            0.012941,            0.015964,             0.00307,             0.00307,             0.00307
                   9,            0.044251,            0.030158,           0.0080894,             0.62181,             0.60435,             0.58448,             0.39473,            0.039386,            0.012963,             0.01458,             0.00208,             0.00208,             0.00208
